date,open,high,low,close,volume,oi,vwap,8,9
2020-03-19 11:32:00,94.00,94.00,94.00,94.00,40,6520,,,
2020-03-19 12:01:00,97.00,97.00,97.00,97.00,20,6480,,,
2020-03-19 12:28:00,117.00,117.00,117.00,117.00,40,6480,,,
2020-03-19 13:06:00,116.95,116.95,116.95,116.95,40,6520,,,
2020-03-19 13:34:00,100.00,100.00,100.00,100.00,60,6520,,,
2020-03-19 13:56:00,116.90,116.90,116.90,116.90,20,6560,,,
2020-03-19 14:19:00,125.00,125.00,125.00,125.00,60,6580,,,
2020-03-19 14:22:00,125.00,125.00,125.00,125.00,20,6520,,,
2020-03-19 14:27:00,120.00,120.00,120.00,120.00,20,6520,,,
2020-03-19 14:59:00,111.00,111.00,111.00,111.00,40,6520,,,
2020-03-19 15:15:00,111.00,111.00,111.00,111.00,20,6500,,,
2020-03-19 15:18:00,90.10,90.10,90.10,90.10,20,6520,,,
2020-03-20 09:20:00,125.00,125.00,125.00,125.00,20,6500,,,
2020-03-20 09:26:00,90.00,90.00,90.00,90.00,20,6500,,,
2020-03-20 09:31:00,90.00,90.00,90.00,90.00,20,6500,,,
2020-03-20 10:00:00,90.90,90.90,90.90,90.90,20,6500,,,
2020-03-20 10:01:00,90.90,90.90,90.90,90.90,20,6500,,,
2020-03-20 10:02:00,90.90,90.90,90.90,90.90,20,6500,,,
2020-03-20 10:25:00,90.90,90.90,90.90,90.90,20,6500,,,
2020-03-20 10:26:00,90.90,90.90,90.90,90.90,20,6500,,,
2020-03-20 10:28:00,70.30,70.30,70.30,70.30,40,6520,,,
2020-03-20 10:38:00,76.05,76.05,76.05,76.05,200,6500,,,
2020-03-20 10:42:00,76.05,76.05,76.05,76.05,100,6300,,,
2020-03-20 11:13:00,76.55,76.55,76.55,76.55,20,6320,,,
2020-03-20 11:14:00,76.60,76.60,76.50,76.50,60,6300,,,
2020-03-20 12:04:00,99.05,99.05,99.05,99.05,20,6260,,,
2020-03-20 12:07:00,89.05,89.05,89.05,89.05,20,6280,,,
